Carimbo de data/hora,Nome do Jornal ou Revista,Estado da federação da publicação,Título do texto,Data da publicação,Nome do autor do texto,Povo ou terra indígena mencionado,"Nomes de empresas, fazendas ou indivíduos mencionados",Entrevista algum indígena?,Qual o nome do indígena entrevistado?,Há não-indígena entrevistado?,Nome do não-indígena entrevistado,Cargo ou profissão do não-indígena entrevistado,"Se houver, evento mencionado (violência, crimes, etc)",Link da notícia
18/04/2023 11:07:32,Aconteceu especial no. 17,SP,Juruna acusa Ferreira Lima,06/07/1985,Não consta,Xavante; Reserva de Sangradouro,Mário Juruna; Ministro do Interior Ronaldo Costa Couto; ex-presidente da FUNAI Otávio Costa Lima; antropóloga Cláudia Menezes;,Não,,Não,,,"Juruna acusa Otávio Ferreira de fornecer certidão negativa e, assim, iniciar conflitos na reigão;",https://www.docvirt.com/docreader.net/HemeroIndio/7458
13/04/2023 20:05:23,Aconteceu - Volume 8,SP,Situação atual das terras (Amanayé),01/01/1985,Não consta,Amanayé,Fazenda União,Não,,Não,,,Requerimento de Certidão Negativa pela Fazenda União. Processo 1518/79,https://www.docvirt.com/docreader.net/HemeroIndio/15437
15/04/2023 17:22:39,Aconteceu (ISA) - Volume 8,SP,Tembé-Turiwara,01/01/1985,Não consta,Tembé; Turiwara; Reserva Indígena do Alto Rio; Aldeia do Banaal do Acará-miri Guamá; Raimundo Barrá Turiwara;,Fazenda Mombaça,Não,,Não,,,Surto de sarampo em 1950; ,https://www.docvirt.com/docreader.net/HemeroIndio/15444
15/04/2023 17:33:34,Aconteceu (ISA) - volume 8,SP,Tembé,01/01/1985,Não consta,Tembé; Área indígena Alto Rio Guamá; ,Cia. Agropecuária do Pará (Subsidiária da Swift Armour); Gal. Bandeira de Mello,Não,,Não,,,"Certidão negativa emitida em 1970, que lesou os Tembé em 11.000ha",https://www.docvirt.com/docreader.net/HemeroIndio/15466
15/04/2023 17:41:20,Aconteceu (ISA) - Volume 8,SP,Tembé,01/01/1985,Não consta,Tembé; P.I. Pedro Dantas; A.I. do Alto Rio Guamá;,Cia. Agropecuária do Pará; Gal. Bandeira de Mello,Não,,Não,,,"Cia. Agropecuária do Pará obtém certidão negativa em 1970; (Processo FUNAI/GB/450/70 doc.03); O delegado da 2a. Regional se demite por causa disso; Bandeira de Mello envia ofício ao governador do Pará, propondo liberação da AI do Alto Rio Guamá (Ofício 157/DGPI/FUNAI/07.12.1970)",https://www.docvirt.com/docreader.net/HemeroIndio/15470
18/04/2023 10:50:20,Aconteceu especial no. 17 - 1985-1986,SP,Acordos ilegais,01/01/1985,Não consta,Wapixana; Truaru; Muriru;,Rui Augusto da Costa Rodrigues; Wapixana José Henrique de Oliveira; Antropóloga Guiomar de Melo;,Não,,Não,,,,https://www.docvirt.com/docreader.net/HemeroIndio/7210
18/04/2023 10:58:25,Aconteceu especial no. 17 1985-1986,SP,Delegado da FUNAI dá Certidão Negativa,01/01/1985,Não consta,,Mário Juruna; Amilton Jerônimo Figueiredo; Carlos Óbice;,Não,,Não,,,,https://www.docvirt.com/docreader.net/HemeroIndio/7425
02/05/2023 10:54:27,Terra Indígena - Boletim do G.E.I. Kurumim - Ano IV No. 40,SP,O Documento do CIMI - Balanço do ano de 1985 e exigências para uma nov política indigenista,01/01/1985,Não consta,Pirahã (sub-grupo dos Mura); ,Otávio Ferreira Lima,Não,,Não,,,"Certidão negativa incide sobre área dos Pirahã. Portaria 1650, de 14.06.84 estabeleceu GT para investigar, mas relatório não foi entregue;",https://www.docvirt.com/docreader.net/HemeroIndio/54118
18/04/2023 10:44:29,Aconteceu especial no. 15,SP,Criada comissão para o caso Salumã,30/09/1984,Não consta,Salumã,Pedro Schiqueti; INCRA; INTERMAT;,Não,,Não,,,,https://www.docvirt.com/docreader.net/HemeroIndio/7013
18/04/2023 10:36:57,Aconteceu especial no. 15,SP,Nambiquara,29/07/1984,Não consta,Nambiquara,Antônio Morimoto; Abraham Kasinski;,Não,,Não,,,STF garante demarcação Nambiquara e invalida certidão negativa;,https://www.docvirt.com/docreader.net/HemeroIndio/7010
18/04/2023 10:32:50,Aconteceu especial no. 15,SP,História de Jacutinga - Os Hahaintesu,01/01/1984,Sibene de Almeida,Nambiquara,,Não,,Não,,,"""Suas terras foram liberadas para incentivos da SUDAM aos industriais paulistas""",https://www.docvirt.com/docreader.net/HemeroIndio/7006
18/04/2023 10:16:08,Aconteceu especial no 12,SP,Aripunã ameaçam fazenda Chaparral,26/09/1983,Não consta,Aripunã,Fazenda Chaparral; Antônio Bertoldo; Índio Severino; Coordenador Djalma Dias de Santos;,Não,,Não,,,Ameaça de invasão a fazenda e confusão por conta de certidão negativa;,https://www.docvirt.com/docreader.net/HemeroIndio/6740
28/04/2023 11:36:27,Porantim Ano VI No. 52/53,AM,Deu nos jornais - Paresí exigem suas terras;,01/07/1983,"Folha de São Paulo, maio de 83",Paresí,Delegado da FUNAI em Cuiabá Cel. Darci Cunha; Governador Júlio Campos; Paralelo 14;,Sim,Daniel Matenho Cabixi,Não,,,INDÍCIO DE CONFLITO:Fazendeiros com certidão negativa abrem picadas em terras indígenas,https://www.docvirt.com/docreader.net/HemeroIndio/3755
18/04/2023 10:24:08,Aconteceu Especial no. 14,SP,Demarcação da reserva preocupa os Parecis,09/05/1983,Não consta,Pareci,Coronel Darcy Cunha; Governador Júlio Campos; ,Sim,Daniel Matenho Cabixi,Não,,,"Fazendeiros obtiveram certidão negativa e avançaram 18km dentro da reserva; Cel. Darcy Cunha, delegado da FUNAI em Cuiabá, apoia os fazendeiros;",https://www.docvirt.com/docreader.net/HemeroIndio/6755
02/06/2023 15:45:27,A Crítica,AM,Funai aguarda liberação de recursos,15/04/1983,Funai aguarda liberação de recursos,"Nambikwaras (""nabikharas"", no texto)",Seplan; Rodovia 364 - Cuiabá-Porto Velho; Polo Noroeste; Paulo Moreira Leal (presidente FUNAI); Banco Mundial; Hendrich Van Der Reijder (chefe do Banco Mundial no Brasil); Bird;,Não,,Sim,Paulo Moreira Leal,Presidente da Funai,"Nesta notícia, há indícios de que fazendas no Vale do Guaporé serão indenizadas",https://www.docvirt.com/docreader.net/HemeroIndioRecortes/4099
25/04/2023 11:59:02,Boletim Mensal - Grupo de Estudos Indígenas Kurumim no.10,SP,"Os Arara, um povo em fuga",01/03/1983,Não consta,Arara; ,Cooperativa Tritícola de Ijuí; Transamazônica;,Não,,Não,,,A cooperativa recebeu certidão negativa em 1974;,https://www.docvirt.com/docreader.net/HemeroIndio/55387
28/04/2023 11:05:26,Porantim Ano V No. 49,AM,"Os Arara, um povo em fuga",01/03/1983,Não consta,Arara; ,Cooperativa Tritícola de Ijuí; ,Não,,Não,,,INDÍCIO IMPORTANTE: A Cooperativa possui certidão negativa - conflito com os Arara,https://www.docvirt.com/docreader.net/HemeroIndio/3692
28/04/2023 10:53:16,Porantim Ano V No. 46,AM,Potiguara quer terra de volta,01/12/1982,Não consta,Potiguara,Coronel Paulo Leal; Companhia Rio Tinto (subsidiária da Riozina); Belarmino Pessoa Melo;,Sim,Cacique Severino Fernandes da Silva,Não,,,INDICIO RELEVANTE: O cacique denuncia que Pessoa de Melo recebeu certidão negativa e se instalou nas terras Potiguara;,https://www.docvirt.com/docreader.net/HemeroIndio/3667
18/04/2023 10:05:02,Aconteceu especial no. 12,SP,FUNAI acusada de forçar interdições de reservas,03/06/1982,Não consta,"Vale do Guaporé - provavelmente, Nambiquara",Deputado Antônio Morimoto - PDS-SP,Não,,Sim,Deputado Morimoto (PDS-SP),Deputado,"FUNAI assina portaria 1.125/3, para demarcar terras indígenas. Segundo o deputado, a portaria prejudicou fazendas, inclusive a dele",https://www.docvirt.com/docreader.net/HemeroIndio/6503
