Carimbo de data/hora,Nome do Jornal ou Revista,Estado da federação da publicação,Título do texto,Data da publicação,Nome do autor do texto,Povo ou terra indígena mencionado,"Nomes de empresas, fazendas ou indivíduos mencionados",Entrevista algum indígena?,Qual o nome do indígena entrevistado?,Há não-indígena entrevistado?,Nome do não-indígena entrevistado,Cargo ou profissão do não-indígena entrevistado,"Se houver, evento mencionado (violência, crimes, etc)",Link da notícia
13/04/2023 19:34:20,Gazita,MT,Reserva indígena é a preocupação,01/01/1980,Dr. Luiz Carlos da Silva Lima,Xavante,Diversos,Não,,Não,,,,https://www.docvirt.com/docreader.net/AcervPeI/987
03/05/2023 11:16:14,Varadouro Ano IINo. 16,AC,"Valente, mas contraditório",01/10/1979,Não consta,Campa; Culina; Poianáua; Nuquini; Jaminaua; Arara; Catuquina; Manchineri; Jamamadi; Apurinã; Marinaua; Iauanawa; Caxarari; Caxinauá;,"Companhia Novo Oeste S/A; General Bandeira de Mello; Grupo Atlântica Boa Vista; José Carvalho, primeiro chefe da Ajudância da Funai no Acre;",Não,,Não,,,"Menciona-se que José Carvalho emitiu certidões negativas em áreas indígenas no Acre; Menciona-se que José Carvalho descobriu certidão negativa fria, produzida em Brasília, por Bandeira de Mello. O fato foi denunciado por José Carvalho;",https://www.docvirt.com/docreader.net/HemeroIndio/32495
26/04/2023 12:07:32,Porantim Ano III No. 22,AM,Mário Frota apoia roubo de madeira dos Katukina,01/09/1979,Não consta,Katukina,Deputado Mário Frota (PMDB),Não,,Sim,Dep. Mário Frota (PMDB),Deputado;,"Pressão política contra a Portaria No. 574/N, de 29 de junho de 1979 (ela vai ser revogada em 1981)",https://www.docvirt.com/docreader.net/HemeroIndio/3233
24/05/2023 17:27:48,O Estado de São Paulo,SP,A defesa de nova política indígena,14/07/1979,,Parque indígena Yanomami; Araras; ,,Não,,Não,,,O texto menciona pedido de anulação de certidão negativa que afetou os Araras,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/2034
26/04/2023 11:11:14,Porantim Ano II No. 9,AM,Deu nos jornais - Situação dos índios causa preocupação,01/07/1979,Não consta,,Delfim Neto; Adhemar Ribeiro da Silva (presidente da FUNAI); Conselho de Desenvolvimento Social;,Não,,Não,,,Delfim Neto sugere dispensar certidões negativas para pequenos e médios proprietários de terras na Amazônia Legal;,https://www.docvirt.com/docreader.net/HemeroIndio/3138
24/05/2023 12:29:31,Jornal do Brasil,RJ,Certidões,06/05/1979,,Nambikwara;,Bandeira de Mello; Ismarth Araújo;,Não,,Não,,,O texto liga certidão negativa a massacre de Nambikwaras;,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/2004
24/05/2023 12:16:07,Jornal do Brasil,RJ,Índios do Acre são torturados,03/05/1979,,Apurinã; Axinauá;,Banco do Amazonas,Não,,Não,,,Pe. Iasi fala de certidões negativas e financiamento do Banco do Amazonas,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/1883
13/04/2023 19:38:20,O Estado de São Paulo,SP,Xavantes pedem a Andreazza mudança de pessoal na FUNAI,17/03/1979,Não consta,Xavante; Nhambiquara; Waimiri-Atroari;,Bandeira de Mello; o filho de Costa Cavalcanti;,Sim,30 caciques (não constam nomes),Não,,,"""Tem fazendeiro que comprou certidão negativa""",https://www.docvirt.com/docreader.net/AcervPeI/1024
25/04/2023 12:21:08,"Nimuendajú - Boletim da Comissão Pró-Índio Ano 1, no.1",,Corrupção: quem dá mais? ,01/02/1979,Não consta,Parque do Xingu; ,Arne Sucksdorf; Getúlio Barreto (procurador da FUNAI); Laia Rodrigues (funcionária FUNAI); Armando Conceição (advogados);,Não,,Não,,,Arne Sucksdorf acusa funcionários da FUNAI de corrupção.Essa notícia pode ser um fio da meada relevante,https://www.docvirt.com/docreader.net/HemeroIndio/6183
13/04/2023 19:45:59,Diário de Cuiabá,MT,Os Xavantes estão prontos para a luta,25/01/1979,José Calixto de Alencar,Xavante,Diversos,Sim,Warodi (traduzido por Surupredo),Sim,Waldênio Lopes,Fazendeiro,,https://www.docvirt.com/docreader.net/AcervPeI/1025
24/05/2023 12:22:12,Diário de Cuiabá,MT,,06/01/1979,,Nambikwara; Urubu-Kaapor;,Mineradora Itapiranga; Grupo Badin; Costa Cavalanti; Bandeira de Mello; Ismarth Araújo;,Não,,Não,,,,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/1925
24/05/2023 11:50:34,CIMI - Norte I (não consta título),Não consta,Espírito Santo,19/12/1978,,Tupiniquim; Mbyá-Guarani,Aracruz Celulose,Não,,Não,,,Funai emitiu certidão negativa para Aracruz Celulose;,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/1102
25/04/2023 11:10:35,Boletim do CIMI ano 7 no. 52,DF,A terra dos índios no Brasil - Espírito Santo,01/12/1978,Não consta,Tupiniquim,Aracruz,Não,,Não,,,Certidão Negativa para a Aracruz Celulose,https://www.docvirt.com/docreader.net/HemeroIndio/21943
03/05/2023 11:03:07,Varadouro Ano II No. 13,AC,Seis mentiras sobre o índio,01/12/1978,Não consta,Caxinauá,"José Ramos, gerente do Basa; Basa; Probor II; ",Não,,Sim,Terri Valle de Aquino,Antropólogo,Terri denuncia que José Ramos concedeu empréstimos sem exigir apresentação de certidões negativas - vale desenvolver o argumento de que as certidões não eram obedecidas;,https://www.docvirt.com/docreader.net/HemeroIndio/32439
24/05/2023 11:57:53,Coleção CIMI Norte I,,"CIMI apoia manifesto do diretório universitário contra a ""emancipação""",25/10/1978,Pe. Paulo Suess,Terras indígenas no rio Envira,Grupo Bradesco-Boa Vista; Gal. Bandeira de Melo;,Não,,Não,,,,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/1170
25/04/2023 12:31:34,Porantim no. 4,,"Deu nos jornais - ""Cimi apoia Darcy contra Rangel Reis""",01/09/1978,"""A Crítica""",Kulina; Alto envira;,Grupo Atlântico Boa Vista; Gen. Bandeira de Mello;  Pe. Egídio;,Não,,Não,,,Pe. Egídio acusou FUNAI de emitir certidão negativa em terras indígenas;,https://www.docvirt.com/docreader.net/HemeroIndio/3049
02/06/2023 17:25:56,Estado de São Paulo,SP,Rangel pede ação contra antropólogo,01/08/1978,,Kulina,Ismarth de Araújo Oliveira; Egidio Schwade;,Não,,Sim,Egídio Schwade,Secretário Cimi,Schwade acusou Ismarth Araújo de emitir certidão negativa em terra Kulina;,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/10350
03/05/2023 10:40:11,Varadouro Ano I No. 10,AC,Entrevista Apoena Meirelles,01/06/1978,,Não consta,,Não,,Sim,Apoena Meirelles,Sertanista,Apoena afirma que certidões negtivas estão sendo canceladas,https://www.docvirt.com/docreader.net/HemeroIndio/32327
24/05/2023 10:58:21,Jornal A Crítica,,Secretário do CIMI critica CPI,07/10/1977,Não consta,Urubu Kaapor,Grupo EMASA; Argemiro Bustamante Dias; Mineradora Itapiranga; Gal. Bandeira de Mello; George Cerqueira Zarur; Amaury Sadock,Não,,Sim,Pe. Antônio Iasi,Padre e secretário do CIMI,Pe. Antônio Iasi acusa a CPI de ser falha e aponta que outros depoentes devem ser convocados;,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/995
25/04/2023 10:51:19,Boletim do CIMI ano 6 no. 41,DF,DGPI: o monstro,01/10/1977,Não consta,Nambikwara; ,Filho do ex-ministro Costa Cavalcanti; George Zarur;,Não,,Não,,,Acusação de que filho do Ministro Costa Cavalcanti tenha certidão negativa em área Nambikwara,https://www.docvirt.com/docreader.net/HemeroIndio/21420
25/04/2023 10:58:15,Boletim do CIMI ano 6 no. 41,DF,P.I. Couto Magalhães,01/10/1977,Não consta,P.I. Couto Magalhães; P.I. Areões; ,Dr. Armando Conceição,Não,,Não,,,,https://www.docvirt.com/docreader.net/HemeroIndio/21437
25/04/2023 10:46:20,Boletim do CIMI no. 31,DF,Parque Indígena Aripuanã,01/09/1976,Não consta,Munxor,Oscar Gomes dos Santos,Não,,Não,,,"Funai fornece certidão negativa a fazendeiro, ainda que sabendo da existência de aldeamentos indígenas na região;",https://www.docvirt.com/docreader.net/HemeroIndio/21021
13/04/2023 18:44:13,O Estado de São Paulo,SP,A estrada tocou o intocável,07/11/1972,Não consta,Parque do Aripuanã,Grupo Sanches Galdeano,Não,,Não,,,,
26/04/2023 21:22:08,Porantim Ano IV No. 32,AM,Wau-wau encurralados e sem futuro - História pedirá contas,01/09/1980,Montezuma Cruz,Wau-wau; ,De Zorzi;,Não,,Não,,,Possível emissão de certidão para De Zorizi em área Wau-wau;,https://www.docvirt.com/docreader.net/HemeroIndio/3440
26/04/2023 21:31:57,Porantim Ano IV No. 37,AM,Nambikuara: latifúndio apressa o final - o grito dos fazendeiros,01/03/1982,Não consta,Nambikuara; Comissão Pró-Índio; ,Deputado Antônio Morimoto; Giro Morimoto; Fazenda Pardo; Fazenda Cabixi; ,Não,,Sim,Antônio Morimoto,Deputado,"Morimoto apresenta certidão negativa, assinada por Bandeira de Mello em 1971, para justificar a legalidade de suas terras;",https://www.docvirt.com/docreader.net/HemeroIndio/3524
24/05/2023 18:14:34,O Estado de São Paulo,SP,São 200 mil índios em 174 postos e 3 parques,21/12/1980,,Pimentel Barbosa; Parabubure; Xavante;,,Não,,Não,,,IMPORTANTE: Indicação de que fazendeiros foram indenizados;,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/3086
