Nome do Jornal ou Revista,Estado da federação da publicação,Título do texto,Data da publicação,Nome do autor do texto,Povo indígena mencionado,TI Mencionada (entre parênteses o nome atual),Povos Possivelmente Afetados (Povos mencionados + povos que habitam as TIs mencionadas),"Nomes de empresas, fazendas ou indivíduos mencionados",Entrevista algum indígena?,Qual o nome do indígena entrevistado?,Há não-indígena entrevistado?,Nome do não-indígena entrevistado,Cargo ou profissão do não-indígena entrevistado,"Se houver, evento mencionado (violência, crimes, etc)",Link da notícia
Diário Oficial da União,SP,FUNAI anula certidão negativa,16/04/1982,Não consta,Nambiquara,,Nambikwara,SORAMA - Comercial e importadora S/A,Não,,Não,,,Paulo Moreira Leal (Pres. FUNAI) anula certidão negativa concedida à SORAMA;,https://www.docvirt.com/docreader.net/HemeroIndio/6502
Gazeta de Notícias,SP,FUNAI acusada de forçar interdições de reservas,03/06/1982,Não consta,Vale do Guaporé ,,Nambikwara,Deputado Antônio Morimoto - PDS-SP,Não,,Sim,Deputado Morimoto (PDS-SP),Deputado,"FUNAI assina portaria 1.125/3, para demarcar terras indígenas. Segundo o deputado, a portaria prejudicou fazendas, inclusive a dele",https://www.docvirt.com/docreader.net/HemeroIndio/6503
Folha de São Paulo,SP,Demarcação da reserva preocupa os Parecis,09/05/1983,Não consta,Pareci,,Paresí,Coronel Darcy Cunha; Governador Júlio Campos;,Sim,Daniel Matenho Cabixi,Não,,,"Fazendeiros obtiveram certidão negativa e avançaram 18km dentro da reserva; Cel. Darcy Cunha, delegado da FUNAI em Cuiabá, apoia os fazendeiros;",https://www.docvirt.com/docreader.net/HemeroIndio/6755
Aconteceu (ISA),SP,História de Jacutinga - Os Hahaintesu,01/01/1984,Sibene de Almeida,Nambiquara,,Nambikwara,,Não,,Não,,,"""Suas terras foram liberadas para incentivos da SUDAM aos industriais paulistas""",https://www.docvirt.com/docreader.net/HemeroIndio/7006
Folha da Tarde,SP,STF garante,31/05/1984,Não consta,Nambiquara,,Nambikwara,Antônio Morimoto; Abraham Kasinski;,Não,,Não,,,STF garante demarcação Nambiquara e invalida certidão negativa;,https://www.docvirt.com/docreader.net/HemeroIndio/7010
Diário de Cuiabá,MT,Criada comissão para o caso Salumã,30/09/1984,Não consta,Salumã,,Enawenê-nawê,Pedro Schiqueti; INCRA; INTERMAT;,Não,,Não,,,,https://www.docvirt.com/docreader.net/HemeroIndio/7013
Correio Braziliense,SP,Juruna acusa Ferreira Lima,06/07/1985,Não consta,Xavante,Reserva de Sangradouro (T.I. Sangradouro/Volta Grande),Xavante; Bororo,Mário Juruna; Ministro do Interior Ronaldo Costa Couto; ex-presidente da FUNAI Otávio Costa Lima; antropóloga Cláudia Menezes;,Não,,Não,,,"Juruna acusa Otávio Ferreira de fornecer certidão negativa e, assim, iniciar conflitos na reigão;",https://www.docvirt.com/docreader.net/HemeroIndio/7458
Aconteceu (ISA),SP,Acordos ilegais,01/01/1985,Não consta,Wapixana; Truaru; Muriru;,,Wapixana; Truaru; Muriru;,Rui Augusto da Costa Rodrigues; Wapixana José Henrique de Oliveira; Antropóloga Guiomar de Melo;,Não,,Não,,,,https://www.docvirt.com/docreader.net/HemeroIndio/7210
Aconteceu (ISA),SP,Delegado da FUNAI dá Certidão Negativa,01/01/1985,Não consta,,,,Mário Juruna; Amilton Jerônimo Figueiredo; Carlos Óbice;,Não,,Não,,,,https://www.docvirt.com/docreader.net/HemeroIndio/7425
Aconteceu (ISA),SP,Certidão negativa da FUNAI facilita invasão da AI Seruini/Marienê,01/01/1987,Não consta,,AI Seruini/Marienê (T.I. Seruni/Marienê); AI Guajahã;,Apurinã,Fazenda Fortaleza; Grupo Manasa - Madeireira Nacional S/A; Otávio Cavalcanti Lacombe; Francisco Hyczy da Costa; Indusval S/A CTVM; Indusval Participações S/A; Lupatelli; Meneghelo; ; Luis Antônio Filho de Castilho;,Não,,Não,,,"Em 1975, FUNAI cedeu certidão negativa à Manasa, apesar de estar localizada em terra indígena;",https://www.docvirt.com/docreader.net/HemeroIndio/15779
Aconteceu (ISA),SP,II Assembleia Bororo reivindica terras invadidas,29/04/1987,Lideranças Bororo,Bororo; Merure,Aldeia Gomes Carneiro (PI General Gomes Carneiro); Rio Garças; Sangradouro; Tadarimana; Perigara; Reserva Teresa Cristina;,Bororo; Merure,Licínio Arantes;,Não,,Não,,,"É um documento escrito pelos Bororo; ""Essa área foi reduzida porque a FUNAI forneceu certidão negativa"";",https://www.docvirt.com/docreader.net/HemeroIndio/15996
Diário Oficial da União,DF,Portaria da Funai cancela certidão negativa,21/02/1989,Diário Oficial da União,Bororo,Colônia Teresa Cristina;,Bororo,Presidente da FUNAI Íris Pedro de Oliveira; José Roberto Figueiredo Ferraz;,Não,,Não,,,"Cancelamento da certidão negativa no. 095/75, de 28/12/1975;",https://www.docvirt.com/docreader.net/HemeroIndio/15997
Aconteceu (ISA),SP,"Dez ano depois, a reação",01/01/1990,Não consta,Waiãpi,,Waiãpi,"Garimpo Monte Negro, ou Garimpo do João Munguba; Mineração Tuucumaque; João Batista de Oliveira Costa;",Não,,Não,,,Indício de que a FUNAI emitiu certidão negativa para o garimpo (processo FUNAI/BSB/3060/80),https://www.docvirt.com/docreader.net/HemeroIndio/15711
Aconteceu (ISA),SP,Território Bororo: um histórico do processo de expropriação,01/01/1990,Sylvia Cayubi Novaes; Paulo Serpa;,Bororo,,Bororo,Fazenda Santa Maria;,Não,,Não,,,"Em 1969, a demarcação da terra Bororo exclui determinada área. Em 1975, a FUNAI emite certidão negativa, relativa à área excluída em 69. Mais adiante, a certidão negativa é anulada;",https://www.docvirt.com/docreader.net/HemeroIndio/15996
Folha de São Paulo,SP,Nambiquara readiquirem terras,25/04/1981,Não consta,Nambiquara,,Nambikwara,Sorana Comercial e Importadora S.A,,,Sim,,,"Mesmo com certidão negativa, o TRF reincorporou terras à área Nambiquara.",https://www.docvirt.com/docreader.net/HemeroIndio/6399
Amazonas em Tempo,AM,FUNAI quer corrigir erros do passado,09/04/1988,,,,,,Não,,Não,Daniel Marques de Souza,Superintendente Funai,"Funai cancela certidões negativas, mas não tem controle sobre a efetividade da ação.",https://www.docvirt.com/docreader.net/HemeroIndioRecortes/8930
Amazonas em Tempo,AM,Certidões negativas,15/04/1988,,Ticunas,,Tikuna,Sebastião Amâncio; Roberto Alexandre; Oscar Castelo Branco; Sônia de ALmeida Demarquet,Não,,Não,,,Funai muda sua postura em relação às certidões negativas e para de emiti-las;,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/8993
Boletim do CIMI,DF,DGPI: o monstro,01/10/1977,Não consta,Nambikwara,,Nambikwara,Filho do ex-ministro Costa Cavalcanti; George Zarur;,Não,,Não,,,Acusação de que filho do Ministro Costa Cavalcanti tenha certidão negativa em área Nambikwara,https://www.docvirt.com/docreader.net/HemeroIndio/21420
Boletim do CIMI,DF,P.I. Couto Magalhães,01/10/1977,Não consta,,P.I. Couto Magalhães (Reserva Indígena Couto Magalhães); P.I. Areões (T.I. Areões),Xavante; ,Dr. Armando Conceição,Não,,Não,,,,https://www.docvirt.com/docreader.net/HemeroIndio/21437
Boletim do CIMI,DF,A terra dos índios no Brasil - Espírito Santo,01/12/1978,Não consta,Tupiniquim,,Tupiniquim,Aracruz,Não,,Não,,,Certidão Negativa para a Aracruz Celulose,https://www.docvirt.com/docreader.net/HemeroIndio/21943
Boletim do CIMI,DF,Parque Indígena Aripuanã,01/09/1976,Não consta,Munxor,,Munxor,Oscar Gomes dos Santos,Não,,Não,,,"Funai fornece certidão negativa a fazendeiro, ainda que sabendo da existência de aldeamentos indígenas na região;",https://www.docvirt.com/docreader.net/HemeroIndio/21021
Boletim do GTME ano IV no. 13,MT,A política indigenista brasileira na Nova República,01/12/1985,Não consta,Rikbaktsa,Escondido (T.I. Escondido); Japutira (T.I. Japuíra);,Rikbaktsa,Cotriguaçu Colonizadora do Aripuanã S/A; Apoena Meirelles;,Não,,Não,,,"Funai indefere certidão negativa, mas, ainda assim, Apoena Meirelles (presidente FUNAI) requisita à PF retirada dos índios de Japutira; Relata-se prisão e tortura de índios;",https://www.docvirt.com/docreader.net/HemeroIndio/54997
Boletim Mensal - Grupo de Estudos Indígenas Kurumim no.10,SP,"Os Arara, um povo em fuga",01/03/1983,Não consta,Arara;,,Arara,Cooperativa Tritícola de Ijuí; Transamazônica;,Não,,Não,,,A cooperativa recebeu certidão negativa em 1974;,https://www.docvirt.com/docreader.net/HemeroIndio/55387
Brasil Norte,RR,Fazendeiros contestam delimitação de Muriru,11/05/1999,Não consta,Muriru; Wapixana,,Muriru; Wapixana,Rui Brunido; José Diniz; Manoel da Rocha; Zulei Ferreira; Antônio Anildo; Fazenda Itamarati I;,Não,,Sim,Rui Brunido,Fazendeiro,Brunido apresenta certidão negativa de 1986 contra demarcação de terra;,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/26724
Boletim do CIMI,AM,Espírito Santo,19/12/1978,,Tupiniquim; Mbyá-Guarani,,Tupiniquim; Guarani,Aracruz Celulose,Não,,Não,,,Funai emitiu certidão negativa para Aracruz Celulose;,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/1102
Boletim do CIMI,AM,"CIMI apoia manifesto do diretório universitário contra a ""emancipação""",25/10/1978,Pe. Paulo Suess,Terras indígenas no rio Envira,Alto envira (T.I. Riozinho do Alto Envira),Ashaninka; Isolados do Rio Jaminawá; Isolados do Riozinho do Alto Envira,Grupo Bradesco-Boa Vista; Gal. Bandeira de Melo;,Não,,Não,,,,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/1170
Correio Braziliense,DF,O perigo dos conflitos interétnicos,08/07/1980,,Paresi,,Paresí,Sudamata,Não,,Sim,Rafael José de Menezes Bastos,Antropólogo,,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/2489
Correio do Povo,RS,Terras indígenas não são demarcadas e conflitos com brancos é iminente em cinco estados,03/02/1980,Memélia Moreira,Potiguara,,Potiguara,Destilaria Santo Antônio,Não,,Não,,,"A destilaria tem certidão negativa, de 1978; Dimas Valencisi (chefe do posto) permite invasão de grileiros",https://www.docvirt.com/docreader.net/AcervPeI/981
Diário de Cuiabá,MT,,06/01/1979,,Nambikwara; Urubu-Kaapor;,,Nambikwara; Ka'apor,Mineradora Itapiranga; Grupo Badin; Costa Cavalanti; Bandeira de Mello; Ismarth Araújo;,Não,,Não,,,,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/1925
Diário de Cuiabá,MT,Os Xavantes estão prontos para a luta,25/01/1979,José Calixto de Alencar,Xavante,,Xavante,Diversos,Sim,Warodi (traduzido por Surupredo),Sim,Waldênio Lopes,Fazendeiro,,https://www.docvirt.com/docreader.net/AcervPeI/1025
Diário de Cuiabá,MT,Xavantes vão anexar por conta própria mais de 40 mil Ha à Reserva de Sangradouro,15/03/1980,Não consta,Xavante,Sangradouro (T.I. Sangradouro/Volta Grande); Parabure (T.I. Parabure),Xavante; Bororo,Sindicato Rural de Barra do Garças,Não,,Sim,Adilson José de Barros,Presidente do Sindicato Rural de Barra do Garças,Xavantes tentam ampliar área indígena,https://www.docvirt.com/docreader.net/AcervPeI/966
O Estado de São Paulo,SP,Rangel pede ação contra antropólogo,01/08/1978,,Kulina,,Kulina,Ismarth de Araújo Oliveira; Egidio Schwade;,Não,,Sim,Egídio Schwade,Secretário Cimi,Schwade acusou Ismarth Araújo de emitir certidão negativa em terra Kulina;,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/10350
Folha de São Paulo,SP,outro lado do problema indígena,13/01/1980,José Calixto de Alencar,Merure,,Merure,Manoel Preto e Irmãos Pizziato,Não,,Sim,Manoel Preto,Fazendeiro,Chacina do Merure,https://www.docvirt.com/docreader.net/AcervPeI/984
Folha de São Paulo,SP,"O outro lado do problema indígena - ""Uma máfia""",13/01/1980,José Calixto de Alencar,Xavante,,Xavante,José Vergetti; Costa Cavalcanti; General Cintra e Evandro;,Não,,Sim,José Vergetti,"Taxista, ex-fazendeiro",Vergetti alega ter perdido 10mil Ha;,https://www.docvirt.com/docreader.net/AcervPeI/985
Folha de São Paulo,SP,Antropólogo é demitido por sugerir ampliação,07/06/1981,,Apurinã,,Apurinã,Benedito Tadeu César; Claudio Pagano,Não,,Não,,,,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/2008
Gazeta de Notícias,MT,Reserva indígena é a preocupação,01/01/1980,Dr. Luiz Carlos da Silva Lima,Xavante,,Xavante,Diversos,Não,,Não,,,,https://www.docvirt.com/docreader.net/AcervPeI/987
A Crítica,,Secretário do CIMI critica CPI,07/10/1977,Não consta,Urubu Kaapor,,Ka'apor,Grupo EMASA; Argemiro Bustamante Dias; Mineradora Itapiranga; Gal. Bandeira de Mello; George Cerqueira Zarur; Amaury Sadock,Não,,Sim,Pe. Antônio Iasi,Padre e secretário do CIMI,Pe. Antônio Iasi acusa a CPI de ser falha e aponta que outros depoentes devem ser convocados;,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/995
Jornal do Brasil,RJ,Índios do Acre são torturados,03/05/1979,,Apurinã; Axinauá;,,Apurinã; Kaxinawá,Banco do Amazonas,Não,,Não,,,Pe. Iasi fala de certidões negativas e financiamento do Banco do Amazonas,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/1883
Jornal do Brasil,RJ,Certidões,06/05/1979,,Nambikwara;,,Nambikwara;,Bandeira de Mello; Ismarth Araújo;,Não,,Não,,,O texto liga certidão negativa a massacre de Nambikwaras;,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/2004
Jornal do Brasil,RJ (JB),"""A terra é tão ruim que não nasce nem minhoca""",27/04/1980,Memélia Moreira,Nambiquara,Vale do Guaporé (T.I. Vale do Guaporé),Nambikwara,,Não,,Não,,,,https://www.docvirt.com/docreader.net/HemeroIndio/5729
