Nome do Jornal ou Revista,Estado da federação da publicação,Título do texto,Data da publicação,Nome do autor do texto,Povo indígena mencionado,TI Mencionada (entre parênteses o nome atual),Povos Possivelmente Afetados (Povos mencionados + povos que habitam as TIs mencionadas),"Nomes de empresas, fazendas ou indivíduos mencionados",Entrevista algum indígena?,Qual o nome do indígena entrevistado?,Há não-indígena entrevistado?,Nome do não-indígena entrevistado,Cargo ou profissão do não-indígena entrevistado,"Se houver, evento mencionado (violência, crimes, etc)",Link da notícia
Porantim,AM,Os Gorotire dizem basta a invasão capitalista,01/11/1980,Não consta,Gorotire; Kayapó;,,Kayapó,Andrade Gutierrez; Volkswagen; BRADESCO; Frigorífico ATLAS (alemão); Instituto de Terras do Pará; Filho de Mário Andreazza (dirigente do BRADESCO); Cel. Nobre da Veiga;,Não,,Não,,,"As empresas se instalaram na fronteira leste da reserva munidas de certidões negativas; O presidente da FUNAI, Nobre da Veiga, acha absurda a postura dos Gorotire;",https://www.docvirt.com/docreader.net/HemeroIndio/3266
Porantim,AM,Transferência favorece exploração mineral - Remoção do entrave,01/02/1981,Não consta,Waimiri; Sateré-Munduruku;,P.I. Laranjal no Baixo Madeira (T.I. Araweté/Igarapé Ipixuna); Camanaú (T.I. Waimiri-Atroari),Waimiri-Atroari; Isolados da Cabeceira do Rio Camanaú; Araweté; Isolados do Igarapé Bom Jardim;,Timbó-Paranapanema;,Não,,Não,,,FUNAI faz estudos para liberar certidão para o grupo Timbó-Paranpanema;,https://www.docvirt.com/docreader.net/HemeroIndio/3303
Porantim,AM,"""Projeto integrado"" divide os Potiguara",01/05/1981,Giovanni Salomão,,,,Comissão Pró-Índio de SP; Lundgren (Casas Pernambucanas); Pessoa de Mello (Usineiros de Pernambuco);,Sim,José Augusto,Não,,,"Afirma que a usina de Pessoa de Mello, implantada na área com certidão negativa poluiu o rio;",https://www.docvirt.com/docreader.net/HemeroIndio/3369
Folha de São Paulo,SP,Antropólogo demitido por ser incompatível,07/06/1981,Não consta,Apurinã,,Apurinã,,Não,,Não,,,"Menciona antropólogo da FUNAI, Benedito Tadeu César, que se recusou a assinar Certidões Negativas;",https://www.docvirt.com/docreader.net/HemeroIndio/3419
Porantim,AM,Wau-wau encurralados e sem futuro - História pedirá contas,01/09/1980,Montezuma Cruz,Wau-wau,,Uru-eu-wau-wau,De Zorzi;,Não,,Não,,,Possível emissão de certidão para De Zorizi em área Wau-wau;,https://www.docvirt.com/docreader.net/HemeroIndio/3440
Porantim,AM,Nambikuara: latifúndio apressa o final - o grito dos fazendeiros,01/03/1982,Não consta,Nambikuara,,Nambikwara,Deputado Antônio Morimoto; Giro Morimoto; Fazenda Pardo; Fazenda Cabixi;,Não,,Sim,Antônio Morimoto,Deputado,"Morimoto apresenta certidão negativa, assinada por Bandeira de Mello em 1971, para justificar a legalidade de suas terras;",https://www.docvirt.com/docreader.net/HemeroIndio/3524
Porantim,AM,Obediência à lei,01/04/1982,Não consta,Waimiri; Atroari;,,Waimiri-Atroari,Paranapanema; CIMI; Prelazia de Itacoatiara; Coronel Paulo Leal;,Não,,Não,,,CIMI alega que Paranapanema não possui certidões negativas e por isso deve se retirar a área;,https://www.docvirt.com/docreader.net/HemeroIndio/3549
Porantim,AM,"Área Zoró é delimitada, mas continua invadida",01/04/1987,Não consta,Zoró; Cinta-Larga;,,Zoró; Cinta-Larga;,Companhia João Lunardelli S/A;,Não,,Não,,,"FUNAI emitiu certidão no. 26, em 11 de março de 1975, para Lunardelli, mesmo depois de que interditava a área;",https://www.docvirt.com/docreader.net/HemeroIndio/4427
Tribuna da Imprensa,RJ,Potiguara quer terra de volta,22/10/1982,Não consta,Potiguara,,Potiguara,Coronel Paulo Leal; Companhia Rio Tinto (subsidiária da Riozina); Belarmino Pessoa Melo;,Sim,Cacique Severino Fernandes da Silva,Não,,,INDICIO RELEVANTE: O cacique denuncia que Pessoa de Melo recebeu certidão negativa e se instalou nas terras Potiguara;,https://www.docvirt.com/docreader.net/HemeroIndio/3667
Porantim,AM,"Os Arara, um povo em fuga",01/03/1983,Não consta,Arara;,,Arara,Cooperativa Tritícola de Ijuí;,Não,,Não,,,INDÍCIO IMPORTANTE: A Cooperativa possui certidão negativa - conflito com os Arara,https://www.docvirt.com/docreader.net/HemeroIndio/3692
